gain_10hz,common_to_diff_50hz
9.998936303749312859e-01,1.213965171679328085e-05
9.998975270360737078e-01,3.205848767062517230e-05
9.998908536909775213e-01,2.478614029534683872e-06
9.998920534901170054e-01,5.227694116577213338e-06
9.998951388532977269e-01,8.382451959862822179e-06
9.998939408040653509e-01,2.007879638361913878e-05
9.998906970926613180e-01,2.909161671739306208e-05
9.998967221111866310e-01,2.993225953910267690e-05
9.998926414315587596e-01,1.998567589339244523e-05
9.998975246363085434e-01,3.443305480218597628e-05
9.998940441430802517e-01,1.230814539937502467e-05
9.998980543128065390e-01,2.835780196809007024e-05
9.998946938391047867e-01,5.669274517209261895e-06
9.998907805130258231e-01,4.426215341161285121e-05
9.998935788839355965e-01,2.646378656971907727e-05
9.998942043816085867e-01,2.975860663408639494e-06
9.998971266123334312e-01,1.680163429916701055e-05
9.998985957243178291e-01,2.998765058820437460e-06
9.998884553311011558e-01,4.235413982982347557e-05
9.998926847504859827e-01,8.645867679205001302e-06
9.998875834391118822e-01,2.036093328607625413e-05
9.998931977684701877e-01,5.068838604427648648e-06
9.998993250664680588e-01,1.768344844306205918e-05
9.998927749979158452e-01,2.607172122920962669e-05
9.998961392668241910e-01,2.017323153062328248e-06
9.998936047283057960e-01,4.103537040581928697e-05
9.998970985265299705e-01,4.493367855555653622e-05
9.998859361586336369e-01,1.005201461063012297e-06
9.998934745694085802e-01,4.124398326261614174e-05
9.998982973736367796e-01,5.307234061369909008e-06
9.998974137515074245e-01,3.846788443525860779e-05
9.998976057272602747e-01,1.125937453812379376e-05
9.998938156911828523e-01,1.720426638107196825e-06
9.998909379983378365e-01,2.495156820173708410e-05
9.998913289581997654e-01,2.203187448596011228e-05
9.998908678050340004e-01,1.941438580624823694e-05
9.998915051974126555e-01,8.185999866669506909e-06
9.998987419259791620e-01,6.224734701670857162e-06
9.998964510828276531e-01,4.217476397048289027e-06
9.998989625719451046e-01,5.947086862359909570e-06
9.998948773049651795e-01,9.096495794092962557e-06
9.998911988106878868e-01,1.113222836359604479e-05
9.998961319076852261e-01,2.377768325115553613e-06
9.998904150049794382e-01,3.321918069386261803e-05
9.998961371194440284e-01,3.632909303750674599e-05
9.998983823672704663e-01,3.807043991960717803e-05
9.998985229733977631e-01,1.973013422367830011e-05
9.998954566760834828e-01,3.143333772548665745e-05
9.998922649535719742e-01,6.098272811181838775e-06
9.999001512762923927e-01,2.486411274297996158e-05
9.998914149027501308e-01,3.703687857765100913e-05
9.998890151009520721e-01,1.195190682679148777e-06
9.998941296707233306e-01,4.181438959350240031e-05
9.998940334937583829e-01,1.335262885236631032e-05
9.998903941744663459e-01,3.858883224525847097e-05
9.998936829361277923e-01,2.480450606424587951e-05
9.998951931281950811e-01,6.346321730510267433e-06
9.998958207102809359e-01,5.673788839656408668e-06
9.998895796186526574e-01,1.144472884183630591e-05
9.998971913464023142e-01,4.127228776598669931e-05
9.998885294493342624e-01,1.672043061372073612e-05
9.998970583253429245e-01,2.878173024903395925e-05
9.998919583386600696e-01,2.818944578914221749e-05
9.998925797820438222e-01,3.432241517820309735e-05
9.998970951476109370e-01,1.119033742661619218e-05
9.998966590273602462e-01,4.534734420504031927e-06
9.998934972914463870e-01,1.662874442405923124e-05
9.998955055749326748e-01,7.259918617012254688e-06
9.998875047322471898e-01,2.186703672506489982e-05
9.998902641155332782e-01,9.327585499480759044e-07
9.998915056635664378e-01,1.437392866739284080e-05
9.998938351493580345e-01,3.837585980598407127e-05
9.998944431095637686e-01,5.074081927882585064e-05
9.998958775168124147e-01,4.956292706308879771e-06
9.998994387139733542e-01,4.979373320830073566e-06
9.998990553599920172e-01,9.295726962214668611e-06
9.998943296832206729e-01,2.546514354395768299e-05
9.998931557253487590e-01,4.520811358515954764e-06
9.998937979759101591e-01,1.397317456620061781e-05
9.998965901017331515e-01,4.915552389268721350e-05
9.998962477893775791e-01,1.339257179648557018e-05
9.998962034983861491e-01,9.307349675974740645e-06
9.998974258648838376e-01,2.793856158013159124e-06
9.998968640905434579e-01,7.529307203733293402e-06
9.998980319803060235e-01,6.000715621100515507e-06
9.998922466818411792e-01,3.932960332044250663e-06
9.998905976754172142e-01,3.048065697781566851e-05
9.998948173637376424e-01,4.126924907304543313e-05
9.998957068719509511e-01,2.550243276271700325e-05
9.998924300746776517e-01,7.569995801615769088e-06
9.998916990776395286e-01,2.631142901175975094e-05
9.998965610354203504e-01,1.931003493199140501e-05
9.998920713727759146e-01,1.376067498410931311e-05
9.998950790659207888e-01,4.061706736374698879e-06
9.998875666025951459e-01,1.250305571734486520e-05
9.998940492125144575e-01,3.557257024493957700e-05
9.998919633561029752e-01,7.909631820552026895e-06
9.998924452163731047e-01,1.631771893645952865e-05
9.998914276456570827e-01,1.672902355785614115e-05
