frequency_hz,ch1_uV2_per_Hz,ch2_uV2_per_Hz,ch3_uV2_per_Hz,ch4_uV2_per_Hz
3.275000000000000000e+01,2.546400547640638139e-33,7.021990089027437051e-33,1.248514871989936735e-32,8.439687959122309642e-33
3.300000000000000000e+01,2.099895539381219960e-33,2.289242419412281509e-33,1.178857784355179288e-32,2.075331997019866209e-33
3.325000000000000000e+01,8.969753103088287901e-33,1.480703989430286987e-32,3.030720495811816011e-33,1.913567098852164654e-32
3.350000000000000000e+01,2.735647348799364574e-33,2.656828738097550292e-32,1.849358646598111355e-32,3.314670139786039513e-32
3.375000000000000000e+01,4.914276493370932822e-32,3.801239188038625550e-32,1.993236498499040289e-32,9.068093696133977942e-32
3.400000000000000000e+01,1.028260768224413498e-32,8.670558351092275197e-33,4.056454810379535186e-32,1.437142160020271715e-32
3.425000000000000000e+01,2.588880140273716988e-34,2.115749861448864868e-33,4.728494797143539069e-33,6.750122342379316007e-33
3.450000000000000000e+01,7.783283635798521676e-34,1.810138551898616772e-33,7.734880782219125819e-34,3.544017785248704564e-33
3.475000000000000000e+01,4.179773797949416223e-32,1.613760414991265021e-32,6.380355493155511086e-32,1.496248430650842321e-32
3.500000000000000000e+01,3.511969491216793927e-32,3.233519008453448461e-31,3.183562119367335340e-33,4.376739879458461395e-32
3.525000000000000000e+01,2.240785302533844240e-32,2.467263849827336999e-32,6.658241770957912631e-33,4.039563127539142656e-34
3.550000000000000000e+01,6.200171805439834110e-33,1.754796815368551047e-33,3.819229309341398895e-33,1.529944243898016404e-33
3.575000000000000000e+01,2.756132332858402586e-33,1.959137664033980914e-33,1.302041582810229271e-33,3.264157756716678021e-33
3.600000000000000000e+01,1.922162668927000021e-32,2.960662958947617475e-34,1.472952631503181871e-32,2.571793760949317869e-32
3.625000000000000000e+01,3.428851958093428041e-32,6.826912511321396986e-33,7.158132856811424392e-32,2.470618575976829442e-32
3.650000000000000000e+01,1.768461707176718243e-33,1.595038978853134837e-33,3.257957100319579381e-33,1.082036785570203415e-32
3.675000000000000000e+01,6.932562849542475553e-33,4.570212615397208282e-33,2.249745765636714481e-33,1.001581770361866156e-32
3.700000000000000000e+01,9.418314716784729934e-33,1.767101592305713058e-34,2.723135740270698675e-33,5.338071668590028755e-33
3.725000000000000000e+01,2.311306398870561900e-32,7.141213950644213486e-34,6.273386236664642331e-33,1.316840569185601817e-32
3.750000000000000000e+01,8.792184910497691325e-33,2.145877079310412166e-32,5.188451542278467557e-32,5.835109465562633270e-32
3.775000000000000000e+01,3.620581454894654922e-32,8.741005501957844041e-33,9.136585353669768927e-33,9.543162814568009667e-33
3.800000000000000000e+01,1.360333618606429817e-32,5.655736382823072627e-33,2.835230372326487169e-33,5.206998951565160889e-34
3.825000000000000000e+01,9.662394153845494856e-34,3.955138508618461866e-34,3.330042757240335636e-33,1.412157437499623706e-33
3.850000000000000000e+01,9.238864470452283719e-33,4.109754955989452711e-33,2.909961776467904262e-33,1.824452065242046587e-32
3.875000000000000000e+01,2.394630871488482059e-33,5.513449573879736405e-34,3.650154873532205356e-33,3.285675438918259938e-33
3.900000000000000000e+01,1.557005984517813972e-32,1.375909232967454842e-32,1.149173702727843245e-32,2.524411163826829555e-32
3.925000000000000000e+01,5.477221268944852163e-32,4.413551180965002939e-32,3.436556670629342695e-32,3.035125589792104000e-32
3.950000000000000000e+01,3.476380134449445895e-32,2.772534956865605818e-32,3.458657680939505154e-32,2.286424186027926265e-32
3.975000000000000000e+01,1.348824792139360050e-07,2.434101149353341439e-06,6.357465656276173870e-06,2.390508465378058254e-06
4.000000000000000000e+01,5.395299168542983467e-07,9.736404597416841979e-06,2.542986262510369259e-05,9.562033861511103072e-06
4.025000000000000000e+01,1.348824792137179735e-07,2.434101149354003395e-06,6.357465656274785583e-06,2.390508465377271360e-06
4.050000000000000000e+01,1.362478856773002554e-32,1.505122563207114185e-32,1.489839315549825979e-32,1.208623137709233970e-32
4.075000000000000000e+01,4.519876948755609589e-33,1.206594687084885897e-32,2.068483701265009467e-32,4.797541648421963874e-32
4.100000000000000000e+01,9.589179562286755960e-32,4.363649900259481347e-32,6.506787284799972878e-31,6.592261960518483689e-32
4.125000000000000000e+01,1.792550544740148181e-30,5.733930234510986369e-31,3.646437829705182794e-31,1.065419566906806630e-31
4.150000000000000000e+01,1.118493842341538208e-31,2.120329230494776483e-31,7.863518398260993816e-32,2.054106278117472515e-31
4.175000000000000000e+01,4.477885196985423370e-33,3.611743577454244419e-33,3.541877622409629473e-33,7.030384916269666221e-34
4.200000000000000000e+01,2.067346397437177516e-33,1.643398308374652682e-33,2.548275444514652787e-33,4.044371598267910552e-33
4.225000000000000000e+01,1.914120398140190365e-33,1.327324063114066422e-32,5.178102877979097773e-33,1.371648482682133160e-33
4.250000000000000000e+01,4.299548886219559620e-32,4.061522972298635336e-33,8.597478411175578659e-33,6.278322553036320373e-32
4.275000000000000000e+01,1.186912706993553728e-32,2.433356670760906015e-33,1.567124512553396425e-32,1.021280570890022396e-32
4.300000000000000000e+01,1.730295713641723823e-34,4.793947060021799981e-33,2.858976427813576994e-34,4.940799319493216611e-33
4.325000000000000000e+01,3.265815402053647616e-33,3.619092109930726584e-33,4.149611289679178454e-33,1.505886943942162971e-32
4.350000000000000000e+01,6.797271367181802082e-34,2.280489520747327334e-34,1.346451317129548538e-32,1.381883393524724155e-32
4.375000000000000000e+01,3.810457000658039399e-33,1.426048443915496557e-33,3.029402093485878871e-33,5.243046759528839670e-33
4.400000000000000000e+01,2.215964834044551104e-33,3.722595680150319412e-33,2.123517347771022930e-32,1.195420525698354082e-32
4.425000000000000000e+01,4.638581921295831026e-34,4.800300949325987931e-33,1.675626153839624756e-34,2.518693037613053063e-33
4.450000000000000000e+01,1.646443208439629779e-33,2.598781269262288684e-33,2.905061500184337578e-33,1.282981963918887847e-33
4.475000000000000000e+01,1.019155893515978827e-32,7.382753446452024289e-33,2.154104027039964712e-33,5.956591671935471416e-33
4.500000000000000000e+01,1.702481253718970679e-32,5.996999781681103428e-33,8.453569899903361553e-33,1.996974403116920041e-32
4.525000000000000000e+01,1.583810876199488759e-32,6.178912424273514411e-32,1.596259009678956135e-32,6.517344995572844180e-33
4.550000000000000000e+01,2.202132155682180083e-33,1.233766664977262533e-33,5.601043931869717925e-33,2.000332930492755237e-33
4.575000000000000000e+01,8.549189314097638816e-33,7.679666137701464692e-33,2.203470489611224216e-33,7.426645022341948625e-33
4.600000000000000000e+01,8.748102726673208426e-32,1.363486013103971323e-31,4.763701346854902170e-33,3.470917525037522255e-32
4.625000000000000000e+01,5.410055290893339531e-33,7.811898429115317928e-32,3.191874133610579113e-31,1.913371830512201005e-31
4.650000000000000000e+01,3.331083551074996663e-33,4.423813425302262339e-32,3.124257022426925570e-32,6.067311746743307710e-32
4.675000000000000000e+01,1.153480918752883339e-32,6.909700781682462014e-33,4.927737731511587903e-33,3.485184757059425171e-33
4.700000000000000000e+01,1.278278177627542692e-32,4.525937837959321397e-33,1.039632644117651799e-32,1.832164062882493210e-32
4.725000000000000000e+01,7.523787668961602884e-33,4.022853306421894963e-32,2.403516132394779862e-32,5.310908452520155538e-32
4.750000000000000000e+01,1.599732876553154872e-31,4.804815461158870137e-31,9.328088155811787167e-32,3.250563980692482586e-32
4.775000000000000000e+01,1.855171490683445837e-32,1.349019173688266227e-32,8.903052731667856401e-33,6.287679796690078703e-32
4.800000000000000000e+01,6.489821520250772815e-33,3.015051016477420696e-33,2.816960350097829620e-33,1.861467635501676564e-34
4.825000000000000000e+01,6.248757334306957032e-33,1.520752885909078138e-33,3.328446279427280185e-33,3.172644619834443187e-34
4.850000000000000000e+01,2.139490179682326593e-32,6.309735707148530578e-32,3.215253209263404287e-32,1.288347390012468723e-32
4.875000000000000000e+01,8.894329556062491358e-33,1.001723685960224832e-32,2.984972723356741759e-32,2.199391180524954718e-32
4.900000000000000000e+01,3.948933022703910484e-32,1.945055297260930763e-32,1.698340175507012915e-32,2.326336609889057570e-32
4.925000000000000000e+01,1.669815864731748814e-32,9.206426715672777952e-33,1.651496934814149404e-32,2.434559831622382403e-32
4.950000000000000000e+01,4.489651438152925748e-32,2.003721948284817802e-32,5.948266899306056354e-32,4.625047893089204494e-32
4.975000000000000000e+01,1.472918865541538705e-06,2.790337549018991683e-06,1.880023627443117925e-06,6.646489201677452631e-06
5.000000000000000000e+01,5.891675462165611024e-06,1.116135019607516375e-05,7.520094509773040059e-06,2.658595680671283274e-05
5.025000000000000000e+01,1.472918865541796415e-06,2.790337549018825665e-06,1.880023627443247309e-06,6.646489201678132798e-06
5.050000000000000000e+01,8.360654249542227923e-34,1.112380126098111493e-32,1.109632373933283668e-32,2.931908411905207432e-33
5.075000000000000000e+01,8.065437658560179322e-33,3.809677754391850547e-33,2.631808049465643217e-33,7.126855980922275599e-33
5.100000000000000000e+01,4.116833806157905063e-34,4.931587308628613851e-34,1.140305749495864916e-32,1.039178456395408346e-32
5.125000000000000000e+01,4.545920811975852434e-33,2.077776280445637137e-33,6.200993906024309859e-32,5.485487776672365839e-33
5.150000000000000000e+01,3.124710243459608429e-33,3.277206129517688613e-33,5.529185716683896065e-33,3.079804379762509526e-32
5.175000000000000000e+01,7.173571516671523407e-33,3.762486803723628766e-33,3.308513167309393399e-33,8.560832791465317016e-34
5.200000000000000000e+01,2.167334058808568981e-34,1.327002473028560425e-32,1.542392549887868722e-33,1.169989900532837739e-32
5.225000000000000000e+01,5.434930772754831712e-32,4.627400471751468644e-32,5.192644918044551354e-32,5.605193857299268284e-33
5.250000000000000000e+01,3.601675461282778953e-31,1.153196580548362330e-30,5.520378848251792447e-31,1.457350402897809754e-30
5.275000000000000000e+01,2.113710587312884056e-31,6.059722968389462068e-31,2.184199857442783482e-32,9.528829557408756082e-32
5.300000000000000000e+01,1.350158512206957151e-33,9.166078221395133455e-33,4.313879431357231321e-33,8.815308435115113192e-34
5.325000000000000000e+01,2.010058007872605920e-33,3.270198679496772068e-33,9.686463381207005449e-34,3.611927779176528940e-33
5.350000000000000000e+01,3.885522742511389459e-32,1.952654647376933235e-32,3.943896188559113630e-32,5.353959772189518996e-33
5.375000000000000000e+01,1.461141528513522120e-33,6.466503751849246706e-32,6.675875316478002259e-32,1.378752896952847520e-31
5.400000000000000000e+01,6.517641876509830610e-32,8.548634493592180560e-33,9.306932407967033229e-33,1.120215651600085872e-32
5.425000000000000000e+01,1.059716789483630953e-32,7.754029000979855335e-33,4.910091790103978719e-33,3.139156582717837165e-33
5.450000000000000000e+01,4.358246836762457491e-33,3.541614138085492645e-33,3.144565043947558028e-34,5.574524775416452362e-33
5.475000000000000000e+01,7.971442585014622455e-33,2.566531934818987201e-32,2.451945700720856608e-32,1.386269508359968655e-34
5.500000000000000000e+01,7.694351455540387225e-33,2.532540782341918694e-32,3.873969317160670582e-32,6.419708211641024538e-33
5.525000000000000000e+01,9.134844922133993585e-33,2.723331280195371914e-32,3.852269140479432046e-32,1.026091745175009508e-33
5.550000000000000000e+01,2.283307641189229703e-33,4.372424913990147543e-33,7.074689902509985670e-33,4.365962458240585113e-33
5.575000000000000000e+01,5.210648860127318548e-33,7.803669907059633937e-33,7.164882486255610316e-34,6.181919049093896394e-33
5.600000000000000000e+01,1.474780082725236227e-32,4.226653347385298942e-33,3.797606119966734634e-33,1.266797071422036561e-32
5.625000000000000000e+01,1.099806207851655192e-32,1.164156525490160439e-33,6.715374372480264983e-33,1.345381396680573728e-33
5.650000000000000000e+01,6.290327123167039189e-33,2.426577082961433975e-33,7.321614743336155644e-33,4.220756479564642023e-33
5.675000000000000000e+01,1.173070713040290100e-34,2.703353340208912808e-33,2.954639487184159186e-33,2.835570033142723809e-33
5.700000000000000000e+01,8.166357765612205321e-33,3.053323036803871193e-33,7.232169015129446734e-33,4.892187619882139646e-33
5.725000000000000000e+01,2.531287435180325837e-32,9.113002705426260710e-33,1.874035686597892003e-32,2.644604378068610192e-32
5.750000000000000000e+01,1.149956722916480021e-32,6.580096787072514597e-34,6.227420811331200911e-33,5.879983267452464699e-32
