sequence,device_time_us,elapsed_s,missing_before,flags,overruns,status,ch1_count,ch2_count,ch3_count,ch4_count,ch1_uV,ch2_uV,ch3_uV,ch4_uV
78,312000,0.312,0,4,0,c00000,342,376,407,434,7.644295692443848,8.404254913330078,9.097158908843994,9.700655937194824
79,316000,0.316,0,4,0,c00000,422,446,466,482,9.432435035705566,9.968876838684082,10.415911674499512,10.773539543151855
80,320000,0.32,0,4,0,c00000,475,488,496,499,10.617077350616455,10.907649993896484,11.086463928222656,11.15351915359497
81,324000,0.324,0,4,0,c00000,499,499,495,486,11.15351915359497,11.15351915359497,11.064112186431885,10.862946510314941
82,328000,0.328,0,4,0,c00000,491,479,462,441,10.974705219268799,10.706484317779541,10.326504707336426,9.857118129730225
83,332000,0.332,0,4,0,c00000,452,428,401,369,10.102987289428711,9.566545486450195,8.963048458099365,8.247792720794678
84,336000,0.336,0,4,0,c00000,385,351,314,273,8.605420589447021,7.845461368560791,7.018446922302246,6.102025508880615
85,340000,0.34,0,4,0,c00000,293,252,207,161,6.549060344696045,5.632638931274414,4.626810550689697,3.598630428314209
86,344000,0.344,0,4,0,c00000,184,136,88,38,4.112720489501953,3.039836883544922,1.9669532775878906,0.8493661880493164
87,348000,0.348,0,4,0,c00000,62,12,-37,-86,1.385807991027832,0.2682209014892578,-0.8270144462585449,-1.9222497940063477
88,352000,0.352,0,4,0,c00000,-62,-111,-159,-206,-1.385807991027832,-2.4810433387756348,-3.553926944732666,-4.604458808898926
89,356000,0.356,0,4,0,c00000,-184,-229,-272,-313,-4.112720489501953,-5.11854887008667,-6.079673767089844,-6.996095180511475
90,360000,0.36,0,4,0,c00000,-293,-332,-368,-400,-6.549060344696045,-7.420778274536133,-8.225440979003906,-8.940696716308594
91,364000,0.364,0,4,0,c00000,-385,-415,-440,-462,-8.605420589447021,-9.275972843170166,-9.834766387939453,-10.326504707336426
92,368000,0.368,0,4,0,c00000,-452,-471,-485,-495,-10.102987289428711,-10.52767038345337,-10.84059476852417,-11.064112186431885
93,372000,0.372,0,4,0,c00000,-491,-498,-499,-496,-10.974705219268799,-11.1311674118042,-11.15351915359497,-11.086463928222656
94,376000,0.376,0,4,0,c00000,-499,-493,-482,-467,-11.15351915359497,-11.019408702850342,-10.773539543151855,-10.438263416290283
95,380000,0.38,0,4,0,c00000,-475,-457,-435,-408,-10.617077350616455,-10.214745998382568,-9.723007678985596,-9.119510650634766
96,384000,0.384,0,4,0,c00000,-422,-393,-360,-324,-9.432435035705566,-8.784234523773193,-8.046627044677734,-7.241964340209961
97,388000,0.388,0,4,0,c00000,-342,-304,-263,-219,-7.644295692443848,-6.794929504394531,-5.8785080909729,-4.895031452178955
98,392000,0.392,0,4,0,c00000,-240,-195,-149,-100,-5.364418029785156,-4.3585896492004395,-3.330409526824951,-2.2351741790771484
99,396000,0.396,0,4,0,c00000,-124,-75,-25,24,-2.771615982055664,-1.6763806343078613,-0.5587935447692871,0.5364418029785156
100,400000,0.4,0,4,0,c00000,0,49,99,147,0.0,1.0952353477478027,2.212822437286377,3.285706043243408
101,404000,0.404,0,4,0,c00000,124,172,218,261,2.771615982055664,3.8444995880126953,4.872679710388184,5.833804607391357
102,408000,0.408,0,4,0,c00000,240,283,323,359,5.364418029785156,6.32554292678833,7.2196125984191895,8.024275302886963
103,412000,0.412,0,4,0,c00000,342,376,407,434,7.644295692443848,8.404254913330078,9.097158908843994,9.700655937194824
104,416000,0.416,0,4,0,c00000,422,446,466,482,9.432435035705566,9.968876838684082,10.415911674499512,10.773539543151855
105,420000,0.42,0,4,0,c00000,475,488,496,499,10.617077350616455,10.907649993896484,11.086463928222656,11.15351915359497
106,424000,0.424,0,4,0,c00000,499,499,495,486,11.15351915359497,11.15351915359497,11.064112186431885,10.862946510314941
107,428000,0.428,0,4,0,c00000,491,479,462,441,10.974705219268799,10.706484317779541,10.326504707336426,9.857118129730225
108,432000,0.432,0,4,0,c00000,452,428,401,369,10.102987289428711,9.566545486450195,8.963048458099365,8.247792720794678
109,436000,0.436,0,4,0,c00000,385,351,314,273,8.605420589447021,7.845461368560791,7.018446922302246,6.102025508880615
110,440000,0.44,0,4,0,c00000,293,252,207,161,6.549060344696045,5.632638931274414,4.626810550689697,3.598630428314209
111,444000,0.444,0,4,0,c00000,184,136,88,38,4.112720489501953,3.039836883544922,1.9669532775878906,0.8493661880493164
112,448000,0.448,0,4,0,c00000,62,12,-37,-86,1.385807991027832,0.2682209014892578,-0.8270144462585449,-1.9222497940063477
113,452000,0.452,0,4,0,c00000,-62,-111,-159,-206,-1.385807991027832,-2.4810433387756348,-3.553926944732666,-4.604458808898926
114,456000,0.456,0,4,0,c00000,-184,-229,-272,-313,-4.112720489501953,-5.11854887008667,-6.079673767089844,-6.996095180511475
115,460000,0.46,0,4,0,c00000,-293,-332,-368,-400,-6.549060344696045,-7.420778274536133,-8.225440979003906,-8.940696716308594
116,464000,0.464,0,4,0,c00000,-385,-415,-440,-462,-8.605420589447021,-9.275972843170166,-9.834766387939453,-10.326504707336426
117,468000,0.468,0,4,0,c00000,-452,-471,-485,-495,-10.102987289428711,-10.52767038345337,-10.84059476852417,-11.064112186431885
118,472000,0.472,0,4,0,c00000,-491,-498,-499,-496,-10.974705219268799,-11.1311674118042,-11.15351915359497,-11.086463928222656
119,476000,0.476,0,4,0,c00000,-499,-493,-482,-467,-11.15351915359497,-11.019408702850342,-10.773539543151855,-10.438263416290283
120,480000,0.48,0,4,0,c00000,-475,-457,-435,-408,-10.617077350616455,-10.214745998382568,-9.723007678985596,-9.119510650634766
121,484000,0.484,0,4,0,c00000,-422,-393,-360,-324,-9.432435035705566,-8.784234523773193,-8.046627044677734,-7.241964340209961
122,488000,0.488,0,4,0,c00000,-342,-304,-263,-219,-7.644295692443848,-6.794929504394531,-5.8785080909729,-4.895031452178955
123,492000,0.492,0,4,0,c00000,-240,-195,-149,-100,-5.364418029785156,-4.3585896492004395,-3.330409526824951,-2.2351741790771484
124,496000,0.496,0,4,0,c00000,-124,-75,-25,24,-2.771615982055664,-1.6763806343078613,-0.5587935447692871,0.5364418029785156
125,500000,0.5,0,4,0,c00000,0,49,99,147,0.0,1.0952353477478027,2.212822437286377,3.285706043243408
126,504000,0.504,0,4,0,c00000,124,172,218,261,2.771615982055664,3.8444995880126953,4.872679710388184,5.833804607391357
127,508000,0.508,0,4,0,c00000,240,283,323,359,5.364418029785156,6.32554292678833,7.2196125984191895,8.024275302886963
128,512000,0.512,0,4,0,c00000,342,376,407,434,7.644295692443848,8.404254913330078,9.097158908843994,9.700655937194824
129,516000,0.516,0,4,0,c00000,422,446,466,482,9.432435035705566,9.968876838684082,10.415911674499512,10.773539543151855
130,520000,0.52,0,4,0,c00000,475,488,496,499,10.617077350616455,10.907649993896484,11.086463928222656,11.15351915359497
131,524000,0.524,0,4,0,c00000,499,499,495,486,11.15351915359497,11.15351915359497,11.064112186431885,10.862946510314941
132,528000,0.528,0,4,0,c00000,491,479,462,441,10.974705219268799,10.706484317779541,10.326504707336426,9.857118129730225
133,532000,0.532,0,4,0,c00000,452,428,401,369,10.102987289428711,9.566545486450195,8.963048458099365,8.247792720794678
134,536000,0.536,0,4,0,c00000,385,351,314,273,8.605420589447021,7.845461368560791,7.018446922302246,6.102025508880615
135,540000,0.54,0,4,0,c00000,293,252,207,161,6.549060344696045,5.632638931274414,4.626810550689697,3.598630428314209
136,544000,0.544,0,4,0,c00000,184,136,88,38,4.112720489501953,3.039836883544922,1.9669532775878906,0.8493661880493164
137,548000,0.548,0,4,0,c00000,62,12,-37,-86,1.385807991027832,0.2682209014892578,-0.8270144462585449,-1.9222497940063477
138,552000,0.552,0,4,0,c00000,-62,-111,-159,-206,-1.385807991027832,-2.4810433387756348,-3.553926944732666,-4.604458808898926
139,556000,0.556,0,4,0,c00000,-184,-229,-272,-313,-4.112720489501953,-5.11854887008667,-6.079673767089844,-6.996095180511475
140,560000,0.56,0,4,0,c00000,-293,-332,-368,-400,-6.549060344696045,-7.420778274536133,-8.225440979003906,-8.940696716308594
141,564000,0.564,0,4,0,c00000,-385,-415,-440,-462,-8.605420589447021,-9.275972843170166,-9.834766387939453,-10.326504707336426
142,568000,0.568,0,4,0,c00000,-452,-471,-485,-495,-10.102987289428711,-10.52767038345337,-10.84059476852417,-11.064112186431885
143,572000,0.572,0,4,0,c00000,-491,-498,-499,-496,-10.974705219268799,-11.1311674118042,-11.15351915359497,-11.086463928222656
144,576000,0.576,0,4,0,c00000,-499,-493,-482,-467,-11.15351915359497,-11.019408702850342,-10.773539543151855,-10.438263416290283
145,580000,0.58,0,4,0,c00000,-475,-457,-435,-408,-10.617077350616455,-10.214745998382568,-9.723007678985596,-9.119510650634766
146,584000,0.584,0,4,0,c00000,-422,-393,-360,-324,-9.432435035705566,-8.784234523773193,-8.046627044677734,-7.241964340209961
147,588000,0.588,0,4,0,c00000,-342,-304,-263,-219,-7.644295692443848,-6.794929504394531,-5.8785080909729,-4.895031452178955
148,592000,0.592,0,4,0,c00000,-240,-195,-149,-100,-5.364418029785156,-4.3585896492004395,-3.330409526824951,-2.2351741790771484
149,596000,0.596,0,4,0,c00000,-124,-75,-25,24,-2.771615982055664,-1.6763806343078613,-0.5587935447692871,0.5364418029785156
150,600000,0.6,0,4,0,c00000,0,49,99,147,0.0,1.0952353477478027,2.212822437286377,3.285706043243408
151,604000,0.604,0,4,0,c00000,124,172,218,261,2.771615982055664,3.8444995880126953,4.872679710388184,5.833804607391357
152,608000,0.608,0,4,0,c00000,240,283,323,359,5.364418029785156,6.32554292678833,7.2196125984191895,8.024275302886963
153,612000,0.612,0,4,0,c00000,342,376,407,434,7.644295692443848,8.404254913330078,9.097158908843994,9.700655937194824
154,616000,0.616,0,4,0,c00000,422,446,466,482,9.432435035705566,9.968876838684082,10.415911674499512,10.773539543151855
155,620000,0.62,0,4,0,c00000,475,488,496,499,10.617077350616455,10.907649993896484,11.086463928222656,11.15351915359497
156,624000,0.624,0,4,0,c00000,499,499,495,486,11.15351915359497,11.15351915359497,11.064112186431885,10.862946510314941
157,628000,0.628,0,4,0,c00000,491,479,462,441,10.974705219268799,10.706484317779541,10.326504707336426,9.857118129730225
158,632000,0.632,0,4,0,c00000,452,428,401,369,10.102987289428711,9.566545486450195,8.963048458099365,8.247792720794678
159,636000,0.636,0,4,0,c00000,385,351,314,273,8.605420589447021,7.845461368560791,7.018446922302246,6.102025508880615
160,640000,0.64,0,4,0,c00000,293,252,207,161,6.549060344696045,5.632638931274414,4.626810550689697,3.598630428314209
161,644000,0.644,0,4,0,c00000,184,136,88,38,4.112720489501953,3.039836883544922,1.9669532775878906,0.8493661880493164
162,648000,0.648,0,4,0,c00000,62,12,-37,-86,1.385807991027832,0.2682209014892578,-0.8270144462585449,-1.9222497940063477
163,652000,0.652,0,4,0,c00000,-62,-111,-159,-206,-1.385807991027832,-2.4810433387756348,-3.553926944732666,-4.604458808898926
164,656000,0.656,0,4,0,c00000,-184,-229,-272,-313,-4.112720489501953,-5.11854887008667,-6.079673767089844,-6.996095180511475
165,660000,0.66,0,4,0,c00000,-293,-332,-368,-400,-6.549060344696045,-7.420778274536133,-8.225440979003906,-8.940696716308594
166,664000,0.664,0,4,0,c00000,-385,-415,-440,-462,-8.605420589447021,-9.275972843170166,-9.834766387939453,-10.326504707336426
167,668000,0.668,0,4,0,c00000,-452,-471,-485,-495,-10.102987289428711,-10.52767038345337,-10.84059476852417,-11.064112186431885
168,672000,0.672,0,4,0,c00000,-491,-498,-499,-496,-10.974705219268799,-11.1311674118042,-11.15351915359497,-11.086463928222656
169,676000,0.676,0,4,0,c00000,-499,-493,-482,-467,-11.15351915359497,-11.019408702850342,-10.773539543151855,-10.438263416290283
170,680000,0.68,0,4,0,c00000,-475,-457,-435,-408,-10.617077350616455,-10.214745998382568,-9.723007678985596,-9.119510650634766
171,684000,0.684,0,4,0,c00000,-422,-393,-360,-324,-9.432435035705566,-8.784234523773193,-8.046627044677734,-7.241964340209961
172,688000,0.688,0,4,0,c00000,-342,-304,-263,-219,-7.644295692443848,-6.794929504394531,-5.8785080909729,-4.895031452178955
173,692000,0.692,0,4,0,c00000,-240,-195,-149,-100,-5.364418029785156,-4.3585896492004395,-3.330409526824951,-2.2351741790771484
174,696000,0.696,0,4,0,c00000,-124,-75,-25,24,-2.771615982055664,-1.6763806343078613,-0.5587935447692871,0.5364418029785156
175,700000,0.7,0,4,0,c00000,0,49,99,147,0.0,1.0952353477478027,2.212822437286377,3.285706043243408
176,704000,0.704,0,4,0,c00000,124,172,218,261,2.771615982055664,3.8444995880126953,4.872679710388184,5.833804607391357
177,708000,0.708,0,4,0,c00000,240,283,323,359,5.364418029785156,6.32554292678833,7.2196125984191895,8.024275302886963
178,712000,0.712,0,4,0,c00000,342,376,407,434,7.644295692443848,8.404254913330078,9.097158908843994,9.700655937194824
179,716000,0.716,0,4,0,c00000,422,446,466,482,9.432435035705566,9.968876838684082,10.415911674499512,10.773539543151855
180,720000,0.72,0,4,0,c00000,475,488,496,499,10.617077350616455,10.907649993896484,11.086463928222656,11.15351915359497
181,724000,0.724,0,4,0,c00000,499,499,495,486,11.15351915359497,11.15351915359497,11.064112186431885,10.862946510314941
182,728000,0.728,0,4,0,c00000,491,479,462,441,10.974705219268799,10.706484317779541,10.326504707336426,9.857118129730225
183,732000,0.732,0,4,0,c00000,452,428,401,369,10.102987289428711,9.566545486450195,8.963048458099365,8.247792720794678
184,736000,0.736,0,4,0,c00000,385,351,314,273,8.605420589447021,7.845461368560791,7.018446922302246,6.102025508880615
185,740000,0.74,0,4,0,c00000,293,252,207,161,6.549060344696045,5.632638931274414,4.626810550689697,3.598630428314209
186,744000,0.744,0,4,0,c00000,184,136,88,38,4.112720489501953,3.039836883544922,1.9669532775878906,0.8493661880493164
187,748000,0.748,0,4,0,c00000,62,12,-37,-86,1.385807991027832,0.2682209014892578,-0.8270144462585449,-1.9222497940063477
188,752000,0.752,0,4,0,c00000,-62,-111,-159,-206,-1.385807991027832,-2.4810433387756348,-3.553926944732666,-4.604458808898926
189,756000,0.756,0,4,0,c00000,-184,-229,-272,-313,-4.112720489501953,-5.11854887008667,-6.079673767089844,-6.996095180511475
190,760000,0.76,0,4,0,c00000,-293,-332,-368,-400,-6.549060344696045,-7.420778274536133,-8.225440979003906,-8.940696716308594
191,764000,0.764,0,4,0,c00000,-385,-415,-440,-462,-8.605420589447021,-9.275972843170166,-9.834766387939453,-10.326504707336426
192,768000,0.768,0,4,0,c00000,-452,-471,-485,-495,-10.102987289428711,-10.52767038345337,-10.84059476852417,-11.064112186431885
193,772000,0.772,0,4,0,c00000,-491,-498,-499,-496,-10.974705219268799,-11.1311674118042,-11.15351915359497,-11.086463928222656
194,776000,0.776,0,4,0,c00000,-499,-493,-482,-467,-11.15351915359497,-11.019408702850342,-10.773539543151855,-10.438263416290283
195,780000,0.78,0,4,0,c00000,-475,-457,-435,-408,-10.617077350616455,-10.214745998382568,-9.723007678985596,-9.119510650634766
196,784000,0.784,0,4,0,c00000,-422,-393,-360,-324,-9.432435035705566,-8.784234523773193,-8.046627044677734,-7.241964340209961
197,788000,0.788,0,4,0,c00000,-342,-304,-263,-219,-7.644295692443848,-6.794929504394531,-5.8785080909729,-4.895031452178955
198,792000,0.792,0,4,0,c00000,-240,-195,-149,-100,-5.364418029785156,-4.3585896492004395,-3.330409526824951,-2.2351741790771484
199,796000,0.796,0,4,0,c00000,-124,-75,-25,24,-2.771615982055664,-1.6763806343078613,-0.5587935447692871,0.5364418029785156
200,800000,0.8,0,4,0,c00000,0,49,99,147,0.0,1.0952353477478027,2.212822437286377,3.285706043243408
201,804000,0.804,0,4,0,c00000,124,172,218,261,2.771615982055664,3.8444995880126953,4.872679710388184,5.833804607391357
202,808000,0.808,0,4,0,c00000,240,283,323,359,5.364418029785156,6.32554292678833,7.2196125984191895,8.024275302886963
203,812000,0.812,0,4,0,c00000,342,376,407,434,7.644295692443848,8.404254913330078,9.097158908843994,9.700655937194824
204,816000,0.816,0,4,0,c00000,422,446,466,482,9.432435035705566,9.968876838684082,10.415911674499512,10.773539543151855
205,820000,0.82,0,4,0,c00000,475,488,496,499,10.617077350616455,10.907649993896484,11.086463928222656,11.15351915359497
206,824000,0.824,0,4,0,c00000,499,499,495,486,11.15351915359497,11.15351915359497,11.064112186431885,10.862946510314941
207,828000,0.828,0,4,0,c00000,491,479,462,441,10.974705219268799,10.706484317779541,10.326504707336426,9.857118129730225
208,832000,0.832,0,4,0,c00000,452,428,401,369,10.102987289428711,9.566545486450195,8.963048458099365,8.247792720794678
209,836000,0.836,0,4,0,c00000,385,351,314,273,8.605420589447021,7.845461368560791,7.018446922302246,6.102025508880615
210,840000,0.84,0,4,0,c00000,293,252,207,161,6.549060344696045,5.632638931274414,4.626810550689697,3.598630428314209
211,844000,0.844,0,4,0,c00000,184,136,88,38,4.112720489501953,3.039836883544922,1.9669532775878906,0.8493661880493164
212,848000,0.848,0,4,0,c00000,62,12,-37,-86,1.385807991027832,0.2682209014892578,-0.8270144462585449,-1.9222497940063477
213,852000,0.852,0,4,0,c00000,-62,-111,-159,-206,-1.385807991027832,-2.4810433387756348,-3.553926944732666,-4.604458808898926
214,856000,0.856,0,4,0,c00000,-184,-229,-272,-313,-4.112720489501953,-5.11854887008667,-6.079673767089844,-6.996095180511475
215,860000,0.86,0,4,0,c00000,-293,-332,-368,-400,-6.549060344696045,-7.420778274536133,-8.225440979003906,-8.940696716308594
216,864000,0.864,0,4,0,c00000,-385,-415,-440,-462,-8.605420589447021,-9.275972843170166,-9.834766387939453,-10.326504707336426
217,868000,0.868,0,4,0,c00000,-452,-471,-485,-495,-10.102987289428711,-10.52767038345337,-10.84059476852417,-11.064112186431885
